id,planid,lokplan_id,komnr,kommunenavn,lp_plannr,lp_plannavn,datovedt,bygkunifelt,bygvejledende,doklink
1366985,9611729,9534270,751,Aarhus,1065,Etageboligbebyggelse på Dalgas Avenue 6,20190320,true,true,https://dokument.plandata.dk/20_9534270_1554718144268.pdf
1367106,9752382,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367107,9752383,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367108,9752384,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367109,9752385,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367110,9752386,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367111,9752387,9650296,751,Aarhus,1089,Bolig- og erhvervsbebyggelse ved Ferdinand Sallings Stræde og Fiskergade,20200325,true,true,https://dokument.plandata.dk/20_9650296_1589880986676.pdf
1367281,10912914,10824230,751,Aarhus,1153,"Kildeagersøvej 77-87, Hasselager",20211101,true,true,https://dokument.plandata.dk/20_10824230_1638280701644.pdf
1367282,10912915,10824230,751,Aarhus,1153,"Kildeagersøvej 77-87, Hasselager",20211101,true,true,https://dokument.plandata.dk/20_10824230_1638280701644.pdf
1353219,9639801,9637614,420,Assens,2.2-9,"Dagligvarebutik ved Odensevej og Langesøvej, Skallebølle",20190828,true,true,https://dokument.plandata.dk/20_9637614_1567671547060.pdf
1361598,9954143,9953548,420,Assens,1.2-12,"Dagligvarebutik Østergade, Assens by",20200908,true,true,https://dokument.plandata.dk/20_9953548_1600241628679.pdf
1361600,10646392,10646152,420,Assens,1.2-16,Multitek og havneplads i Assens,20210428,true,true,https://dokument.plandata.dk/20_10646152_1621419769416.pdf
1361604,11133070,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361605,11133071,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361606,11133072,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361607,11133073,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361608,11133074,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361609,11133075,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361610,11133076,11133038,420,Assens,3.1-17,Lokalplan 3.1-17  Boligområde ved Smedevej i Tommerup St.,20220906,true,true,https://dokument.plandata.dk/20_11133038_1662638938820.pdf
1361521,10475429,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1361522,10475430,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1361523,10475431,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1361524,10475432,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1361525,10475433,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1361526,10475434,10475426,810,Brønderslev,02-B-08.01,"Boligområde Moltkes Allé, Dronninglund ",20210412,true,true,https://dokument.plandata.dk/20_10475426_1618389226633.pdf
1431418,11258142,11207656,810,Brønderslev,02-B-18.01,"Boligområde ved Nørregade, Dronninglund",20240320,true,true,https://dokument.plandata.dk/20_11207656_1711021070867.pdf
1332099,9419530,3811943,561,Esbjerg,01-030-0005,"Lysningen, Boliger ved Vognsbølparken i Esbjerg",20180205,true,true,https://dokument.plandata.dk/20_3811943_1517942308244.pdf
1353637,10886459,10851304,430,Faaborg-Midtfyn,2021-10,"Solcelleanlæg, Ringe Nord",20220309,true,true,https://dokument.plandata.dk/20_10851304_1646906779824.pdf
1324038,9538156,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324039,9538163,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324040,9538162,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324041,9538161,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324042,9538158,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324043,9538159,9538153,710,Favrskov,378,378 - Lecaværket (inkl. tillæg nr. 5 til KP 2017-29),20190430,true,true,https://dokument.plandata.dk/20_9538153_1559721774495.pdf
1324132,11006414,11006410,710,Favrskov,415,415 -  Boligområde ved Herredsvej i Hinnerup,20220615,true,true,https://dokument.plandata.dk/20_11006410_1655278665289.pdf
1397420,10242018,10242015,320,Faxe,500-89,Boligområde på Grøndalsgrunden i Haslev,20201217,true,true,https://dokument.plandata.dk/20_10242015_1608625111292.pdf
1397421,10242019,10242015,320,Faxe,500-89,Boligområde på Grøndalsgrunden i Haslev,20201217,true,true,https://dokument.plandata.dk/20_10242015_1608625111292.pdf
1397422,10242020,10242015,320,Faxe,500-89,Boligområde på Grøndalsgrunden i Haslev,20201217,true,true,https://dokument.plandata.dk/20_10242015_1608625111292.pdf
1371149,10086499,10086163,210,Fredensborg,F123,Boliger ved Ulriksdal,20210525,true,true,https://dokument.plandata.dk/20_10086163_1622029732428.pdf
1371150,10086500,10086163,210,Fredensborg,F123,Boliger ved Ulriksdal,20210525,true,true,https://dokument.plandata.dk/20_10086163_1622029732428.pdf
1332215,9576934,9576923,607,Fredericia,LP 367,Renseanlæg og erhverv ved Røde Banke,20190617,true,true,https://dokument.plandata.dk/20_9576923_1562070377857.pdf
1332216,9576935,9576923,607,Fredericia,LP 367,Renseanlæg og erhverv ved Røde Banke,20190617,true,true,https://dokument.plandata.dk/20_9576923_1562070377857.pdf
1332217,9576936,9576923,607,Fredericia,LP 367,Renseanlæg og erhverv ved Røde Banke,20190617,true,true,https://dokument.plandata.dk/20_9576923_1562070377857.pdf
1329308,9498693,1074441,190,Furesø,L.069.V,Område mellem Elsevej og Hejrebakken,20030924,true,true,https://dokument.plandata.dk/20_1074441_APPROVED_1269332289501.pdf
1329310,9498694,1074441,190,Furesø,L.069.V,Område mellem Elsevej og Hejrebakken,20030924,true,true,https://dokument.plandata.dk/20_1074441_APPROVED_1269332289501.pdf
1479328,11253087,11253081,161,Glostrup,GL75.2,"Et område ved Glostrup Butikstorv, Diget",20231122,true,true,https://dokument.plandata.dk/20_11253081_1701358087021.pdf
1479329,11253089,11253081,161,Glostrup,GL75.2,"Et område ved Glostrup Butikstorv, Diget",20231122,true,true,https://dokument.plandata.dk/20_11253081_1701358087021.pdf
1479330,11286356,11253081,161,Glostrup,GL75.2,"Et område ved Glostrup Butikstorv, Diget",20231122,true,true,https://dokument.plandata.dk/20_11253081_1701358087021.pdf
1479331,11253091,11253081,161,Glostrup,GL75.2,"Et område ved Glostrup Butikstorv, Diget",20231122,true,true,https://dokument.plandata.dk/20_11253081_1701358087021.pdf
1479332,11286364,11253081,161,Glostrup,GL75.2,"Et område ved Glostrup Butikstorv, Diget",20231122,true,true,https://dokument.plandata.dk/20_11253081_1701358087021.pdf
