ine_code,municipio,provincia,ccaa,population,rank,tier,region_tier
"28079","Madrid","Madrid","Comunidad de Madrid",3506730,1,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08019","Barcelona","Barcelona","Cataluña",1731649,2,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"46250","València","Valencia/València","Comunitat Valenciana",840792,3,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"50297","Zaragoza","Zaragoza","Aragón",693091,4,"SEED","T3-UNVERIFIED"
"41091","Sevilla","Sevilla","Andalucía",689423,5,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"29067","Málaga","Málaga","Andalucía",599063,6,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"30030","Murcia","Murcia","Región de Murcia",479405,7,"SEED","T3-UNVERIFIED"
"07040","Palma","Balears, Illes","Illes Balears",434786,8,"SEED","T3-UNVERIFIED"
"35016","Palmas de Gran Canaria, Las","Palmas, Las","Canarias",381868,9,"SEED","T3-UNVERIFIED"
"03014","Alacant/Alicante","Alicante/Alacant","Comunitat Valenciana",366221,10,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"48020","Bilbao","Bizkaia","País Vasco",351124,11,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"14021","Córdoba","Córdoba","Andalucía",323262,12,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"47186","Valladolid","Valladolid","Castilla y León",302614,13,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"36057","Vigo","Pontevedra","Galicia",294489,14,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"08101","Hospitalet de Llobregat, L'","Barcelona","Cataluña",289510,15,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"33024","Gijón","Asturias","Principado de Asturias",269894,16,"SEED","T3-UNVERIFIED"
"01059","Vitoria-Gasteiz","Araba/Álava","País Vasco",260699,17,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"15030","Coruña, A","Coruña, A","Galicia",251543,18,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"03065","Elx/Elche","Alicante/Alacant","Comunitat Valenciana",245557,19,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"18087","Granada","Granada","Andalucía",233975,20,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"08279","Terrassa","Barcelona","Cataluña",233270,21,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08015","Badalona","Barcelona","Cataluña",231542,22,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08187","Sabadell","Barcelona","Cataluña",225368,23,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"33044","Oviedo","Asturias","Principado de Asturias",223968,24,"SEED","T3-UNVERIFIED"
"30016","Cartagena","Murcia","Región de Murcia",220704,25,"SEED","T3-UNVERIFIED"
"28092","Móstoles","Madrid","Comunidad de Madrid",214817,26,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"11020","Jerez de la Frontera","Cádiz","Andalucía",213634,27,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"38038","Santa Cruz de Tenerife","Santa Cruz de Tenerife","Canarias",211957,28,"SEED","T3-UNVERIFIED"
"31201","Pamplona/Iruña","Navarra","Comunidad Foral de Navarra",209094,29,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"04013","Almería","Almería","Andalucía",205468,30,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28005","Alcalá de Henares","Madrid","Comunidad de Madrid",203208,31,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"28074","Leganés","Madrid","Comunidad de Madrid",195734,32,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"28065","Getafe","Madrid","Comunidad de Madrid",193238,33,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"28058","Fuenlabrada","Madrid","Comunidad de Madrid",190076,34,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"20069","Donostia/San Sebastián","Gipuzkoa","País Vasco",189866,35,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"12040","Castelló de la Plana/Castellón de la Plana","Castellón/Castelló","Comunitat Valenciana",183711,36,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"09059","Burgos","Burgos","Castilla y León",177402,37,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"28007","Alcorcón","Madrid","Comunidad de Madrid",175719,38,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"39075","Santander","Cantabria","Cantabria",175425,39,"SEED","T3-UNVERIFIED"
"02003","Albacete","Albacete","Castilla-La Mancha",175400,40,"SEED","T3-UNVERIFIED"
"38023","San Cristóbal de La Laguna","Santa Cruz de Tenerife","Canarias",161108,41,"SEED","T3-UNVERIFIED"
"29069","Marbella","Málaga","Andalucía",159786,42,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"26089","Logroño","Rioja, La","La Rioja",152150,43,"SEED","T3-UNVERIFIED"
"06015","Badajoz","Badajoz","Extremadura",150209,44,"SEED","T3-UNVERIFIED"
"25120","Lleida","Lleida","Cataluña",146266,45,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"37274","Salamanca","Salamanca","Castilla y León",146110,46,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"43148","Tarragona","Tarragona","Cataluña",143649,47,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"28148","Torrejón de Ardoz","Madrid","Comunidad de Madrid",143526,48,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"21041","Huelva","Huelva","Andalucía",143215,49,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"41038","Dos Hermanas","Sevilla","Andalucía",142519,50,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28106","Parla","Madrid","Comunidad de Madrid",137471,51,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08121","Mataró","Barcelona","Cataluña",131683,52,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"11004","Algeciras","Cádiz","Andalucía",126589,53,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"08245","Santa Coloma de Gramenet","Barcelona","Cataluña",123981,54,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"24089","León","León","Castilla y León",123446,55,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"28006","Alcobendas","Madrid","Comunidad de Madrid",123342,56,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"23050","Jaén","Jaén","Andalucía",112235,57,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"43123","Reus","Tarragona","Cataluña",111601,58,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"04079","Roquetas de Mar","Almería","Andalucía",111240,59,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11012","Cádiz","Cádiz","Andalucía",109950,60,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"17079","Girona","Girona","Cataluña",108666,61,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"32054","Ourense","Ourense","Galicia",105769,62,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"35026","Telde","Palmas, Las","Canarias",104168,63,"SEED","T3-UNVERIFIED"
"28123","Rivas-Vaciamadrid","Madrid","Comunidad de Madrid",103148,64,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"48013","Barakaldo","Bizkaia","País Vasco",102986,65,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"15078","Santiago de Compostela","Coruña, A","Galicia",100965,66,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"27028","Lugo","Lugo","Galicia",100143,67,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"28127","Rozas de Madrid, Las","Madrid","Comunidad de Madrid",99037,68,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"30024","Lorca","Murcia","Región de Murcia",98969,69,"SEED","T3-UNVERIFIED"
"03133","Torrevieja","Alicante/Alacant","Comunitat Valenciana",98533,70,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08205","Sant Cugat del Vallès","Barcelona","Cataluña",97983,71,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"28134","San Sebastián de los Reyes","Madrid","Comunidad de Madrid",96992,72,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"10037","Cáceres","Cáceres","Extremadura",96651,73,"SEED","T3-UNVERIFIED"
"29070","Mijas","Málaga","Andalucía",95104,74,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11031","San Fernando","Cádiz","Andalucía",93338,75,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"19130","Guadalajara","Guadalajara","Castilla-La Mancha",92834,76,"SEED","T3-UNVERIFIED"
"08073","Cornellà de Llobregat","Barcelona","Cataluña",92237,77,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"04902","Ejido, El","Almería","Andalucía",91440,78,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"46244","Torrent","Valencia/València","Comunitat Valenciana",90928,79,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"11015","Chiclana de la Frontera","Cádiz","Andalucía",90864,80,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11027","Puerto de Santa María, El","Cádiz","Andalucía",89983,81,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28115","Pozuelo de Alarcón","Madrid","Comunidad de Madrid",89770,82,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"38006","Arona","Santa Cruz de Tenerife","Canarias",87793,83,"SEED","T3-UNVERIFIED"
"45168","Toledo","Toledo","Castilla-La Mancha",87216,84,"SEED","T3-UNVERIFIED"
"52001","Melilla","Melilla","Ciudad Autónoma de Melilla",86780,85,"SEED","T3-UNVERIFIED"
