"File","Line","Rule","Msg"
"apps/api-gateway/src/app.ts","15","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/auth-shim.ts","17","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/admin.ts","16","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/admin.ts","17","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/ai.ts","22","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/ai.ts","23","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/formulas.ts","17","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/formulas.ts","18","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/health.ts","9","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/health.ts","10","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/projects.ts","22","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/projects.ts","23","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/webhooks.ts","20","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/api-gateway/src/routes/webhooks.ts","21","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/bake-worker/src/index.ts","13","no-restricted-imports","'express' import is restricted from being used. Express belongs in apps/sync-server/ or apps/bake-worker/ only"
"apps/bench/__tests__/dashboard/coverage.test.ts","148","no-empty","Empty block statement"
"apps/editor/src/engine/EngineContext.ts","17","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/EngineContext.ts","18","no-restricted-imports","'@thatopen/components-front' import is restricted from being used. OBC-front is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/ViewController.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/ViewController.ts","421","no-empty","Empty block statement"
"apps/editor/src/engine/ViewController.ts","1405","no-unreachable","Unreachable code"
"apps/editor/src/engine/ViewController.ts","1494","no-unreachable","Unreachable code"
"apps/editor/src/engine/ViewController.ts","1561","no-unreachable","Unreachable code"
"apps/editor/src/engine/engineLauncher.ts","9","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/engineLauncher.ts","10","no-restricted-imports","'@thatopen/components-front' import is restricted from being used. OBC-front is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initPersistence.ts","35","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initScene.ts","44","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initScene.ts","45","no-restricted-imports","'@thatopen/components-front' import is restricted from being used. OBC-front is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initTools.ts","35","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initTools.ts","84","no-restricted-imports","'@thatopen/components-front' import is restricted from being used. OBC-front is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initUI.ts","28","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initUI.ts","29","no-restricted-imports","'@thatopen/components-front' import is restricted from being used. OBC-front is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initUI.ts","1445","no-empty","Empty block statement"
"apps/editor/src/engine/initViewSetup.ts","2","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/initViewpointsPanel.ts","1","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"apps/editor/src/engine/persistence/ProjectLoader.ts","1683","no-empty","Empty block statement"
"apps/editor/src/engine/views/EdgeProjectorService.ts","16","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
