ccaa,municipios_total,seed_318,priority_407,region_tier
"Andalucía",785,57,80,"T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"Cataluña",947,52,65,"T1-VERIFIED-CLASSIFICATION-ONLY"
"Comunitat Valenciana",542,50,66,"T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"Comunidad de Madrid",179,31,36,"T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"Canarias",88,19,29,"T3-UNVERIFIED"
"Galicia",313,17,21,"T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"Región de Murcia",45,14,18,"T3-UNVERIFIED"
"País Vasco",252,14,18,"T3-FORAL-CADASTRE-BLOCKER"
"Castilla-La Mancha",919,14,16,"T3-UNVERIFIED"
"Castilla y León",2248,13,15,"T2-PDF-CEDULA-ONLY(sourced)"
"Illes Balears",67,12,13,"T3-UNVERIFIED"
"Principado de Asturias",78,6,7,"T3-UNVERIFIED"
"Extremadura",388,6,7,"T3-UNVERIFIED"
"Cantabria",102,5,5,"T3-UNVERIFIED"
"Aragón",731,3,3,"T3-UNVERIFIED"
"Comunidad Foral de Navarra",272,2,4,"T3-FORAL-CADASTRE-BLOCKER"
"La Rioja",174,1,2,"T3-UNVERIFIED"
"Ciudad Autónoma de Melilla",1,1,1,"T3-UNVERIFIED"
"Ciudad Autónoma de Ceuta",1,1,1,"T3-UNVERIFIED"
