# ine	name	frame	N	envBefore	envAfter	envΔ	ovBefore	ovAfter	ovΔ	ladderBefore	ladderAfter	ladderΔ	ladderSelected	attribution	value	heightParcelsMoved	heightMeanΔm	heightDirection
08015	Badalona	SAMPLE	3000	69.47	69.47	0	55.43	55.43	0	14.03	14.03	0	BADALONA_DOGC5224	ATTRIBUTION-WRONG	VALUE-CORRECT	0	0	NO CHANGE
08019	Barcelona	SAMPLE	3000	34.03	34.03	0	6.7	6.7	0	27.33	27.33	0	BARCELONA_MPGM2007	ATTRIBUTION-CORRECT	VALUE-CORRECT	0	0	NO CHANGE
08020	Begues	CENSUS	3386	61.4	61.4	0	8.83	8.83	0	0	0	0	REFUSE_UNKNOWN	ATTRIBUTION-WRONG	VALUE-UNDETERMINED	0		NO CHANGE
08054	Castellbisbal	CENSUS	4861	45.48	45.48	0	6.5	6.5	0	0	0	0	REFUSE_UNKNOWN	ATTRIBUTION-WRONG	VALUE-UNDETERMINED	0		NO CHANGE
08056	Castelldefels	SAMPLE	3000	73.7	73.7	0	9	9	0	64.7	64.7	0	BASE_METROPOLITAN	ATTRIBUTION-WRONG	VALUE-WRONG	196	-1.421	DOWN — the product OVER-GRANTS height today; the base ladder is LOWER
08068	Cervelló	CENSUS	4892	65.52	65.52	0	4.44	4.44	0	0	0	0	REFUSE_UNKNOWN	ATTRIBUTION-WRONG	VALUE-UNDETERMINED	0		NO CHANGE
08072	Corbera de Llobregat	SAMPLE	3000	81.67	81.67	0	4.1	4.1	0	0	0	0	REFUSE_UNKNOWN	ATTRIBUTION-WRONG	VALUE-UNDETERMINED	0		NO CHANGE
08073	Cornellà de Llobregat	CENSUS	4838	64.37	64.37	0	56.43	56.43	0	7.94	7.94	0	BASE_METROPOLITAN	ATTRIBUTION-WRONG	VALUE-WRONG	2164	-1.347	DOWN — the product OVER-GRANTS height today; the base ladder is LOWER
08077	Esplugues de Llobregat	CENSUS	2947	61.28	61.28	0	39.87	39.87	0	21.41	21.41	0	BASE_METROPOLITAN	ATTRIBUTION-WRONG	VALUE-WRONG	765	-1.046	DOWN — the product OVER-GRANTS height today; the base ladder is LOWER
08089	Gavà	SAMPLE	3000	42.8	42.8	0	31.53	31.53	0	11.27	11.27	0	BASE_METROPOLITAN	ATTRIBUTION-WRONG	VALUE-WRONG	836	-1.401	DOWN — the product OVER-GRANTS height today; the base ladder is LOWER
08101	L'Hospitalet de Llobregat	SAMPLE	3000	73.13	73.13	0	59.73	59.73	0	13.4	13.4	0	BASE_METROPOLITAN	ATTRIBUTION-WRONG	VALUE-WRONG	1262	-1.292	DOWN — the product OVER-GRANTS height today; the base ladder is LOWER
