ine,name,pop
24003,Alija del Infantado,554.0
24023,Brazuelo,304.0
24018,Bercianos del Real Camino,179.0
24025,Burón,282.0
24061,Cuadros,2075.0
24092,Llamas de la Ribera,783.0
24046,Castrocalbón,898.0
24040,Carrocera,437.0
24101,Murias de Paredes,337.0
24133,Rioseco de Tapia,409.0
42004,Ágreda,3133.0
24017,Bercianos del Páramo,513.0
46131,Gandía,83135.0
38011,Candelaria,29023.0
42162,San Esteban de Gormaz,2962.0
48070,Murélaga,639.0
48083,Ortuella,8735.0
46258,Villar del Arzobispo,3862.0
06095,Olivenza,11742.0
23009,Baeza,15575.0
10127,Montehermoso,5552.0
46167,Millares,321.0
46044,Ayora,5282.0
24051,Cea,373.0
24076,Garrafe de Torío,1649.0
24158,Santa María de Ordás,327.0
48013,Baracaldo,102986.0
48014,Barrica,1513.0
22158,Monzón,18525.0
24132,Riello,570.0
24108,Palacios de la Valduerna,341.0
28079,Madrid,3506730.0
24019,Berlanga del Bierzo,311.0
24028,Cabreros del Río,406.0
24155,Santa María de la Isla,429.0
24033,Campo de Villavidel,209.0
46206,Quesa,691.0
42024,Arancón,73.0
24042,Castilfalé,58.0
24123,Quintana del Castillo,699.0
06145,Valverde de Mérida,1002.0
29052,Faraján,285.0
48096,Zalla,8334.0
48090,Valmaseda,7718.0
24064,Cubillos del Sil,1746.0
24083,Igüeña,1012.0
05056,Castellanos de Zapardiel,106.0
09330,Salas de los Infantes,1959.0
03031,Benidorm,77327.0
03099,Orihuela,84560.0
24110,Páramo del Sil,1141.0
24100,Molinaseca,870.0
24057,Congosto,1418.0
42018,Almaluez,113.0
46253,Vallés,161.0
42020,Almazán,5544.0
24169,Toreno,2833.0
24071,Folgoso de la Ribera,973.0
42218,Yanguas,104.0
34143,Quintanilla de Onsoña,167.0
24153,Santa Cristina de Valmadrigal,278.0
24080,Grajal de Campos,200.0
28148,Torrejón de Ardoz,143526.0
28013,Aranjuez,63040.0
03122,San Vicente del Raspeig,60247.0
07011,Calviá,53793.0
24149,San Millán de los Caballeros,191.0
24063,Cubillas de Rueda,376.0
24053,Cebrones del Río,439.0
24124,Quintana del Marco,299.0
20055,Mondragón,22450.0
04029,Berja,13120.0
24143,Sancedo,532.0
28005,Alcalá de Henares,203208.0
28006,Alcobendas,123342.0
29044,Comares,1354.0
41038,Dos Hermanas,142519.0
24102,Noceda del Bierzo,603.0
24049,Castropodame,1570.0
29025,Benalmádena,78338.0
04052,Huércal de Almería,18660.0
31058,Burguete,235.0
24062,Cubillas de los Oteros,140.0
24095,Mansilla Mayor,316.0
34120,Palencia,77466.0
18023,Baza,20587.0
24145,San Emiliano,585.0
24096,Maraña,103.0
24032,Campazas,110.0
24107,Pajares de los Oteros,245.0
24127,Regueras de Arriba,263.0
24091,Luyego,537.0
24060,Crémenes,497.0
24055,Cimanes del Tejar,710.0
24078,Gordoncillo,312.0
24146,San Esteban de Nogales,239.0
20036,Fuenterrabía,16788.0
29070,Mijas,95104.0
24117,Pozuelo del Páramo,374.0
24118,Prado de la Guzpeña,108.0
24099,Matanza de los Oteros,157.0
29051,Estepona,79621.0
03009,Alcoy,61468.0
41004,Alcalá de Guadaíra,77474.0
29901,Torremolinos,71329.0
29094,Vélez-Málaga,86048.0
19257,Sigüenza,4911.0
46220,Sagunto,73031.0
06011,Almendralejo,34587.0
29054,Fuengirola,85211.0
24150,San Pedro Bercianos,218.0
24159,Santa Marina del Rey,1718.0
19307,Valdesotos,35.0
05905,Villanueva de Ávila,202.0
02046,Mahora,1465.0
02019,El Bonillo,2645.0
38023,San Cristóbal de La Laguna,161108.0
04003,Adra,25501.0
07033,Manacor,49153.0
48044,Guecho,75752.0
44025,Andorra,7223.0
52001,Melilla,86780.0
24052,Cebanico,146.0
28144,Soto del Real,9400.0
02075,Valdeganga,1970.0
10046,Carbajo,183.0
09027,Arraya de Oca,49.0
04079,Roquetas de Mar,111240.0
21044,Lepe,29677.0
23014,Begíjar,2908.0
22096,Chimillas,407.0
41042,Fuentes de Andalucía,7247.0
47186,Valladolid,302614.0
24050,Castrotierra de Valmadrigal,106.0
24093,Magaz de Cepeda,345.0
24097,Matadeón de los Oteros,212.0
24043,Castrillo de Cabrera,100.0
46244,Torrente,90928.0
30016,Cartagena,220704.0
50248,Sos del Rey Católico,582.0
18192,Zafarraya,2244.0
06158,Zafra,16735.0
24077,Gordaliza del Pino,238.0
24044,Castrillo de la Valduerna,136.0
19161,Lupiana,344.0
29050,Cútar,603.0
05229,Santo Domingo de las Posadas,71.0
24081,Gusendos de los Oteros,123.0
24065,Chozas de Abajo,2699.0
12021,Bechí,5659.0
06003,Ahillones,793.0
47225,Villasexmir,67.0
11042,Zahara de la Sierra,1344.0
24152,Santa Colomba de Somoza,472.0
09018,Aranda de Duero,33956.0
04902,El Ejido,91440.0
28045,Colmenar Viejo,58730.0
28085,Miraflores de la Sierra,7350.0
06005,La Albuera,1995.0
22254,Zaidín,1807.0
46232,Sinarcas,1176.0
19053,Brihuega,2826.0
46229,Siete Aguas,1289.0
28065,Getafe,193238.0
18087,Granada,233975.0
46902,Gátova,452.0
07024,Formentera,11661.0
18012,Algarinejo,2335.0
45191,Villamuelas,587.0
16156,La Peraleja,77.0
24188,Valencia de Don Juan,5103.0
46056,Beniatjar,209.0
02047,Masegoso,117.0
22235,Torres de Alcanadre,91.0
07003,Alcudia,21907.0
09057,Bugedo,193.0
37187,Matilla de los Caños del Río,607.0
22205,San Esteban de Litera,672.0
14021,Córdoba,323262.0
37180,El Manzano,54.0
12032,Burriana,37915.0
34107,Micieces de Ojeda,67.0
35001,Agaete,5683.0
45168,Toledo,87216.0
14038,Lucena,43408.0
50067,Calatayud,20158.0
44088,La Cuba,53.0
48020,Bilbao,351124.0
20018,Azpeitia,15301.0
28049,Coslada,80512.0
41091,Sevilla,689423.0
49111,Manzanal del Barco,118.0
20904,Baliarrain,152.0
24129,Reyero,120.0
24068,La Ercina,412.0
24134,La Robla,3574.0
31228,Tiebas-Muruarte de Reta,693.0
40185,Santa María la Real de Nieva,906.0
18138,Moraleda de Zafayona,3214.0
48004,Amoroto,390.0
20030,Éibar,27484.0
20059,Oñate,11480.0
42160,El Royo,248.0
28058,Fuenlabrada,190076.0
46250,Valencia,840792.0
09059,Burgos,177402.0
48905,Zamudio,3442.0
20079,Zarauz,23496.0
24136,Roperuelos del Páramo,502.0
10067,Coria,12001.0
34004,Aguilar de Campoo,6916.0
38002,Agulo,1078.0
18173,Salobreña,12760.0
18168,Quéntar,952.0
07040,Palma de Mallorca,434786.0
18013,Alhama de Granada,5544.0
28030,La Cabrera,2889.0
44143,Manzanera,530.0
04064,Mojácar,7680.0
28014,Arganda del Rey,60419.0
19223,Poveda de la Sierra,99.0
09302,Rabanera del Pinar,94.0
34112,Nogal de las Huertas,46.0
19008,Albendiego,50.0
45165,Talavera de la Reina,83803.0
48024,Ceánuri,1234.0
38032,El Rosario,17958.0
42048,Caltojar,53.0
12140,Viver,1729.0
30024,Lorca,98969.0
24151,Santa Colomba de Curueño,502.0
24156,Santa María del Monte de Cea,207.0
07032,Mahón,30666.0
35002,Agüimes,33800.0
19045,Auñón,156.0
46078,Burjasot,41299.0
46228,Serra,3767.0
07005,Andrach,12195.0
06006,Alburquerque,4928.0
50297,Zaragoza,693091.0
01051,Salvatierra,5189.0
22004,Agüero,142.0
42035,Berlanga de Duero,810.0
20071,Tolosa,20070.0
29067,Málaga,599063.0
28067,Guadalix de la Sierra,6993.0
28082,Manzanares el Real,9648.0
28080,Majadahonda,73625.0
46010,Albalat de Taronchers,1574.0
37031,Arabayona de Mógica,318.0
41011,Arahal,19546.0
41901,Cañada Rosal,3481.0
02034,Fuentealbilla,1804.0
10008,Alcántara,1329.0
37203,Monterrubio de la Sierra,150.0
16041,Buendía,422.0
31015,Andosilla,2925.0
09255,Partido de la Sierra en Tobalina,75.0
03067,Facheca,100.0
49102,El Maderal,172.0
35027,Teror,13211.0
24175,Valdefresno,2362.0
38045,Tazacorte,4549.0
03140,Villena,34712.0
22048,Barbastro,17807.0
28094,Navalafuente,1693.0
28028,Bustarviejo,2870.0
47030,Campaspero,1001.0
24144,San Cristóbal de la Polantera,611.0
41903,El Cuervo de Sevilla,8783.0
16044,Campillos-Sierra,28.0
45158,Santa Olalla,3571.0
44192,La Puebla de Valverde,485.0
48046,Guernica y Luno,17129.0
34206,Villada,863.0
19004,Alaminos,54.0
50092,Chiprana,496.0
41092,Tocina,9431.0
41022,La Campana,5122.0
22015,Alcalá del Obispo,394.0
37368,Villasdardo,22.0
24154,Santa Elena de Jamuz,1021.0
24148,San Justo de la Vega,1750.0
38033,San Andrés y Sauces,4350.0
38047,Tijarafe,2733.0
38007,Barlovento,2108.0
38008,Breña Alta,7487.0
50074,Caspe,10365.0
24157,Santa María del Páramo,2994.0
04013,Almería,205468.0
40158,Perosillo,21.0
41069,Los Palacios y Villafranca,38761.0
41057,El Madroño,286.0
38037,Santa Cruz de La Palma,15690.0
22105,Estopiñán del Castillo,147.0
16117,Landete,1175.0
09321,Roa,2276.0
