cd,municipio,n,NM_ALTURA,NM_N_PLTA,NM_OCP_MX,NM_FDO_MX_ED,NM_RTR_FRNT,NM_RTR_LATL,NM_RTR_POST,NM_C_ED_ORD,NM_APRV_BC,footprintAny,heightAndFootprint
079,"MADRID",22181,8.86,17.86,20.12,12.94,11.36,23.50,22.15,17.95,0.00,38.83,7.86
065,"GETAFE",2143,63.98,87.17,47.41,22.82,41.02,36.68,42.14,52.03,0.00,85.63,54.74
092,"MÓSTOLES",2062,12.12,17.75,15.23,5.43,20.27,19.84,19.50,10.67,0.00,26.53,12.03
022,"BOADILLA DEL MONTE",1958,79.42,78.55,48.01,1.53,55.41,55.36,55.36,12.77,0.00,58.12,48.01
014,"ARGANDA DEL REY",1677,67.62,55.87,67.74,17.59,36.73,51.58,55.28,38.04,19.32,68.34,67.62
074,"LEGANÉS",1445,76.89,33.98,64.78,12.04,7.34,54.39,54.39,36.68,0.00,91.76,64.78
115,"POZUELO DE ALARCÓN",1435,79.51,64.11,80.14,5.37,61.81,50.52,51.22,62.37,0.00,86.41,77.28
127,"LAS ROZAS DE MADRID",1369,82.98,71.15,80.79,6.87,59.17,56.46,62.82,88.39,0.00,95.25,87.51
007,"ALCORCÓN",1317,56.87,48.60,39.86,43.66,49.89,77.68,65.22,46.32,0.00,92.26,65.91
058,"FUENLABRADA",1296,50.54,55.63,35.19,6.10,37.65,39.66,31.40,39.97,0.00,50.93,39.81
005,"ALCALÁ DE HENARES",1203,75.73,39.24,93.60,6.40,41.15,53.70,41.81,79.88,0.00,93.77,83.13
106,"PARLA",1145,45.07,68.12,45.07,10.83,12.14,4.45,11.27,51.62,2.97,48.82,48.82
152,"TORRELODONES",1129,53.50,46.86,46.15,4.61,55.98,44.46,52.35,38.44,0.00,58.02,44.73
134,"SAN SEBASTIÁN DE LOS REYES",1121,53.35,66.64,34.08,0.27,15.88,15.88,15.79,51.56,0.00,34.97,34.26
040,"CIEMPOZUELOS",1111,74.80,73.36,61.66,17.91,41.04,60.58,62.92,29.97,0.00,80.02,72.01
006,"ALCOBENDAS",1101,77.66,70.75,23.34,25.25,24.89,22.98,47.23,26.52,0.00,52.23,46.41
047,"COLLADO VILLALBA",1090,76.97,97.06,93.58,3.58,15.41,29.63,24.50,70.37,0.00,96.97,95.60
045,"COLMENAR VIEJO",1070,97.38,99.53,74.02,9.07,55.98,60.84,55.70,44.11,0.00,82.24,74.95
023,"EL BOALO",1010,88.12,48.51,18.02,0.00,33.56,34.16,34.16,21.98,0.00,34.26,18.02
096,"NAVALCARNERO",957,48.59,52.56,37.62,14.11,32.60,27.06,28.11,23.93,0.00,53.92,45.25
123,"RIVAS-VACIAMADRID",944,50.64,90.36,52.97,2.01,88.88,84.53,84.53,49.89,0.00,89.51,49.26
161,"VALDEMORO",941,70.99,73.75,27.21,22.64,31.24,24.12,26.14,34.54,0.00,78.64,48.99
113,"PINTO",911,67.51,59.50,34.80,23.38,25.03,23.60,25.03,24.15,0.00,58.18,47.42
026,"BRUNETE",866,74.25,73.90,57.85,18.71,48.38,48.38,53.93,22.63,0.00,63.39,63.39
148,"TORREJÓN DE ARDOZ",864,45.49,52.66,38.31,11.69,29.86,29.05,35.30,49.88,7.52,50.00,50.00
181,"VILLAVICIOSA DE ODÓN",819,59.83,59.58,53.36,5.25,48.84,14.29,2.20,51.53,0.00,53.85,53.48
090,"MORALZARZAL",819,95.24,76.68,83.27,0.00,56.53,56.53,56.53,68.38,0.00,86.69,83.27
160,"VALDEMORILLO",723,98.34,98.34,70.82,0.00,86.17,76.76,86.17,0.00,0.00,88.11,70.82
013,"ARANJUEZ",696,23.99,85.06,39.51,12.07,30.17,28.88,28.88,31.18,0.86,59.63,51.58
176,"VILLANUEVA DE LA CAÑADA",686,55.25,89.07,50.15,7.43,46.94,31.05,31.05,37.03,0.00,60.20,55.25
049,"COSLADA",682,32.99,28.15,31.82,10.56,16.57,16.13,15.84,56.74,27.86,44.72,26.69
009,"ALGETE",660,43.18,55.00,86.36,8.18,67.73,73.03,73.03,76.36,0.00,86.52,58.48
083,"MECO",642,94.24,89.72,61.37,12.31,53.89,46.57,66.04,58.57,0.00,72.43,68.85
066,"GRIÑÓN",628,81.69,57.32,66.40,7.80,64.97,64.97,64.97,72.61,3.98,81.69,70.38
903,"TRES CANTOS",626,63.10,89.62,49.68,16.61,25.24,36.58,34.82,35.30,0.00,66.29,53.35
144,"SOTO DEL REAL",618,57.93,57.93,57.93,3.24,56.63,56.63,56.63,57.93,0.00,61.17,57.93
131,"SAN LORENZO DE EL ESCORIAL",614,90.23,76.38,79.48,20.03,63.68,67.43,35.02,56.35,0.00,99.51,99.51
059,"FUENTE EL SAZ DE JARAMA",608,32.40,32.57,23.68,8.06,38.65,38.65,35.20,37.34,0.00,46.71,31.74
084,"MEJORADA DEL CAMPO",606,63.86,42.24,62.54,17.82,57.59,69.64,53.30,40.10,0.00,75.91,61.39
054,"EL ESCORIAL",603,73.13,78.77,51.58,10.78,50.08,47.26,47.76,41.46,0.00,64.34,62.35
133,"SAN MARTÍN DE VALDEIGLESIAS",601,89.02,73.38,73.54,17.64,62.40,60.90,88.35,11.98,0.00,91.18,91.18
171,"VILLA DEL PRADO",592,88.85,88.85,89.36,0.00,71.28,64.53,89.36,0.00,0.00,89.36,88.68
068,"GUADARRAMA",577,60.31,51.99,81.46,0.69,53.38,53.03,53.38,79.03,0.00,93.76,82.15
004,"EL ÁLAMO",571,100.00,72.85,71.28,0.88,72.85,71.98,70.40,82.49,0.00,89.14,71.28
125,"ROBLEDO DE CHAVELA",570,69.12,94.21,71.40,14.74,61.05,61.05,60.00,54.39,0.00,92.81,86.14
080,"MAJADAHONDA",556,24.82,24.82,28.06,16.01,38.31,22.30,10.25,31.29,0.00,44.06,24.82
010,"ALPEDRETE",555,78.92,78.92,74.77,0.00,75.86,78.74,89.55,63.60,0.00,89.55,74.77
109,"PELAYOS DE LA PRESA",548,100.00,100.00,98.36,5.47,61.50,61.50,61.86,50.73,0.00,98.36,98.36
